timestamp,DVL-filtered,validity,rpm,depth,Echo,Label
1676970780.711,3.551,VALID,1208,2.552,19.473,TRACKING
1676970780.911,3.404,VALID,1207,2.598,20.686,TRACKING
1676970781.111,3.436,VALID,1206,2.59,21.869,TRACKING
1676970781.311,3.378,VALID,1205,2.562,22.951,TRACKING
1676970781.511,3.415,VALID,1204,2.674,24.045,TRACKING
1676970781.711,3.342,VALID,1203,2.681,23.594,TRACKING
1676970781.911,3.365,VALID,1203,2.681,23.594,TRACKING
1676970781.912,3.365,VALID,1202,2.745,24.618,TRACKING
1676970782.111,3.319,VALID,1201,2.613,25.81,TRACKING
1676970782.311,3.3,VALID,1200,2.64,24.981,TRACKING
1676970782.511,3.312,VALID,1199,2.78,25.47,TRACKING
1676970782.711,3.223,VALID,1198,2.741,27.136,TRACKING
1676970782.911,3.152,VALID,1197,2.781,26.34,TRACKING
1676970783.111,3.249,VALID,1197,2.781,26.34,TRACKING
1676970783.112,3.249,VALID,1196,2.76,27.55,TRACKING
1676970783.311,3.204,VALID,1195,2.72,26.895,TRACKING
1676970783.511,3.886,VALID,1194,2.761,25.96,TRACKING
1676970783.711,3.871,VALID,1193,2.646,24.85,TRACKING
1676970783.911,3.859,VALID,1192,2.736,21.632,TRACKING
1676970784.111,3.801,VALID,1191,2.779,18.241,TRACKING
1676970784.311,3.781,VALID,1190,2.746,17.016,TRACKING
1676970784.511,3.899,VALID,1189,2.84,15.455,TRACKING
1676970784.711,3.662,VALID,1189,2.84,15.455,TRACKING
1676970784.712,3.662,VALID,1188,2.947,14.456,TRACKING
1676970784.911,3.711,VALID,1187,2.914,14.14,TRACKING
1676970785.111,3.687,VALID,1186,2.924,13.648,TRACKING
1676970785.311,3.666,VALID,1185,3.082,13.379,TRACKING
1676970785.511,3.618,VALID,1184,3.114,13.502,TRACKING
1676970785.711,3.541,VALID,1184,3.097,13.921,TRACKING
1676970785.911,3.479,VALID,1183,2.964,14.943,TRACKING
1676970786.111,3.514,VALID,1182,3.22,15.683,TRACKING
1676970786.311,3.431,VALID,1181,3.278,16.146,TRACKING
1676970786.511,3.356,VALID,1180,3.136,16.995,TRACKING
1676970786.711,3.426,VALID,1179,3.255,17.338,TRACKING
1676970786.911,3.248,VALID,1178,3.268,18.062,TRACKING
1676970787.111,3.245,VALID,1177,3.31,19.059,TRACKING
1676970787.311,3.237,VALID,1176,3.364,20.475,TRACKING
1676970787.511,3.178,VALID,1175,3.426,22.214,TRACKING
1676970787.711,3.348,VALID,1175,3.334,22.253,TRACKING
1676970787.911,3.119,VALID,1174,3.353,24.317,TRACKING
1676970788.111,3.265,VALID,1173,3.465,24.72,TRACKING
1676970788.311,3.158,VALID,1172,3.453,24.297,TRACKING
1676970788.511,3.25,VALID,1172,3.453,24.297,TRACKING
1676970788.512,3.25,VALID,1171,3.506,22.874,TRACKING
1676970788.711,3.18,VALID,1170,3.499,22.528,TRACKING
1676970788.911,3.16,VALID,1169,3.462,23.452,TRACKING
1676970789.111,3.226,VALID,1169,3.497,21.579,TRACKING
1676970789.311,3.216,VALID,1168,3.439,20.935,TRACKING
1676970789.511,3.02,VALID,1167,3.464,20.734,TRACKING
1676970789.711,3.034,VALID,1166,3.509,20.934,TRACKING
1676970789.911,3.051,VALID,1165,3.43,20.426,TRACKING
1676970790.111,2.978,VALID,1165,3.531,20.166,TRACKING
1676970790.311,3.027,VALID,1164,3.48,22.174,TRACKING
1676970790.512,2.993,VALID,1163,3.44,23.112,TRACKING
1676970790.711,3.031,VALID,1163,3.44,23.112,TRACKING
1676970790.712,3.031,VALID,1162,3.463,23.808,TRACKING
1676970790.911,3.042,VALID,1162,3.463,23.808,TRACKING
